Year,Country,alpha_3,Region,Latitude,Longitude,Jahrestemperatur
2014,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.7
2015,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.6
2016,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.1
2017,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.3
2018,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,12.3
2019,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.8
1931,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.0
1932,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.0
1933,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.2
1934,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.5
1935,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.2
1936,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.1
1937,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.3
1938,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.4
1939,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,10.8
1940,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,10.6
1941,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,10.5
1942,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.4
1943,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.5
1944,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.3
1945,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.3
1946,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.5
1947,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.9
1948,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.9
1949,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.4
1950,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.9
1951,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.2
1952,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.3
1953,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.9
1954,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.0
1955,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.4
1956,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,10.6
1957,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.5
1958,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.6
1959,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.0
1960,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,10.9
1961,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.2
1962,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.2
1963,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,10.6
1964,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.8
1965,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.0
1966,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.4
1967,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.5
1968,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.0
1969,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.0
1970,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.0
1971,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.4
1972,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,10.8
1973,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.5
1974,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.6
1975,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.5
1976,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.8
1977,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.0
1978,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,10.9
1979,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.3
1980,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.1
1981,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.6
1982,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.8
1983,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.8
1984,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.1
1985,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.4
1986,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.8
1987,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.5
1988,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.1
1989,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.4
1990,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.7
1991,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.3
1992,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.5
