Year,Country,alpha_3,Region,Latitude,Longitude,Jahresniederschlag
1969,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,818.7
1970,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,962.7
1971,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,651.9
1972,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,723.5
1973,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,728.2
1974,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,934.6
1975,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1026.0
1976,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,921.9
1977,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1287.8
1978,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,980.3
1979,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1048.2
1980,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1038.8
1981,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1153.6
1982,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1050.1
1983,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1193.8
1984,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,965.9
1985,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,990.4
1986,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1038.8
1987,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1065.6
1988,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1062.8
1989,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,643.8
1990,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1020.7
1991,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,870.4
1992,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1087.6
1993,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1155.8
1994,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1001.4
1995,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1071.7
1996,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,946.9
1997,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,970.0
1998,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,857.7
1999,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1230.6
2000,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,996.0
2001,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1217.3
2002,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1166.4
2003,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,736.9
2004,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,989.5
2005,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,746.3
2006,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,968.6
2007,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1121.1
2008,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1134.9
2009,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,886.4
2010,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,812.0
2011,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,619.0
2012,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,970.3
2013,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1047.3
2014,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1004.6
2015,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,685.5
2016,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,885.5
2017,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,693.0
2018,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,864.3
